,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
222,Iced Nonfat Caramel Mocha (Large),370,6.0,3.5,0.0,25,250,65,1,59,14
223,Frappé Mocha (Small),450,18.0,12.0,1.0,65,125,65,1,57,7
224,Frappé Mocha (Medium),550,22.0,14.0,1.0,75,160,80,1,71,9
225,Frappé Mocha (Large),670,26.0,17.0,1.0,90,190,98,1,88,11
226,Frappé Caramel (Small),450,19.0,12.0,1.0,65,125,64,0,57,7
227,Frappé Caramel (Medium),550,23.0,15.0,1.0,80,160,79,0,71,9
228,Frappé Caramel (Large),670,27.0,17.0,1.5,95,190,96,0,88,11
229,Frappé Chocolate Chip (Small),530,23.0,14.0,1.0,65,135,76,1,67,8
230,Frappé Chocolate Chip (Medium),630,26.0,17.0,1.0,80,160,91,1,81,9
231,Frappé Chocolate Chip (Large),760,31.0,20.0,1.5,95,200,111,1,99,12
232,Blueberry Pomegranate Smoothie (Small),220,0.5,0.0,0.0,5,40,50,3,44,2
233,Blueberry Pomegranate Smoothie (Medium),260,1.0,0.0,0.0,5,50,62,4,54,3
234,Blueberry Pomegranate Smoothie (Large),340,1.0,0.5,0.0,5,65,79,5,70,4
235,Strawberry Banana Smoothie (Small),210,0.5,0.0,0.0,5,50,47,3,44,3
236,Strawberry Banana Smoothie (Medium),250,1.0,0.0,0.0,5,60,58,3,54,4
237,Strawberry Banana Smoothie (Large),330,1.0,0.5,0.0,5,80,74,4,70,5
238,Mango Pineapple Smoothie (Small),210,0.5,0.0,0.0,5,40,50,1,46,2
239,Mango Pineapple Smoothie (Medium),260,1.0,0.0,0.0,5,45,61,1,56,3
240,Mango Pineapple Smoothie (Large),340,1.0,0.5,0.0,5,60,78,2,72,4
241,Vanilla Shake (Small),530,15.0,10.0,1.0,60,160,86,0,63,11
242,Vanilla Shake (Medium),660,19.0,12.0,1.0,75,200,109,0,81,14
243,Vanilla Shake (Large),820,23.0,15.0,1.0,90,260,135,0,101,18
244,Strawberry Shake (Small),550,16.0,10.0,1.0,60,160,90,0,79,12
245,Strawberry Shake (Medium),690,20.0,13.0,1.0,75,210,114,0,100,15
246,Strawberry Shake (Large),850,24.0,15.0,1.0,90,260,140,0,123,18
247,Chocolate Shake (Small),560,16.0,10.0,1.0,60,240,91,1,77,12
248,Chocolate Shake (Medium),700,20.0,12.0,1.0,75,300,114,2,97,15
249,Chocolate Shake (Large),850,23.0,15.0,1.0,85,380,141,2,120,19
250,Shamrock Shake (Medium),660,19.0,12.0,1.0,75,210,109,0,93,14
251,Shamrock Shake (Large),820,23.0,15.0,1.0,90,260,135,0,115,18
252,McFlurry with M&M’s Candies (Small),650,23.0,14.0,0.5,50,180,96,1,89,13
253,McFlurry with M&M’s Candies (Medium),930,33.0,20.0,1.0,75,260,139,2,128,20
254,McFlurry with M&M’s Candies (Snack),430,15.0,10.0,0.0,35,120,64,1,59,9
255,McFlurry with Oreo Cookies (Small),510,17.0,9.0,0.5,45,280,80,1,64,12
256,McFlurry with Oreo Cookies (Medium),690,23.0,12.0,1.0,55,380,106,1,85,15
257,McFlurry with Oreo Cookies (Snack),340,11.0,6.0,0.0,30,190,53,1,43,8
258,McFlurry with Reese's Peanut Butter Cups (Medium),810,32.0,15.0,1.0,60,400,114,2,103,21
259,McFlurry with Reese's Peanut Butter Cups (Snack),410,16.0,8.0,0.0,30,200,57,1,51,10
